number|nation|subject|place|one line
87|England|Coast and countryside|White Cliffs of Dover walk|Cliff top walk to the South Foreland lighthouse
88|England|Coast and countryside|Runnymede and the Magna Carta memorials|Meadow of the 1215 Magna Carta
89|England|Coast and countryside|Box Hill and the Surrey Hills|Viewpoint over the Weald
90|England|Coast and countryside|New Forest|Ancient royal hunting forest with wild ponies
91|England|Heritage spas|Cliveden House Spa|Spa inside the Cliveden estate above the Thames
92|England|Heritage spas|Thermae Bath Spa, Cross Bath|Natural hot spring, Cross Bath private hire for a family
93|England|Heritage spas|The Gainsborough Bath Spa|Hotel spa fed by the thermal spring
94|England|Heritage spas|Coworth Park, Ascot|Dorchester Collection estate near Windsor
95|England|Heritage spas|Pennyhill Park|Large spa with many pools, Surrey
96|England|Heritage spas|The Grove|Family friendly estate hotel close to London
97|England|Heritage spas|Lucknam Park|Country house spa near Bath
98|England|Heritage spas|Ockenden Manor|Small Tudor manor spa, West Sussex
99|England|Heritage spas|South Lodge|Spa with outdoor natural pool, West Sussex
100|England|Heritage spas|Champneys Tring|The original English health resort
101|Wales|Country houses and gardens|Powis Castle and Garden|Medieval castle with terraced gardens
102|Wales|Country houses and gardens|Bodnant Garden|One of the finest gardens in Britain
103|Wales|Country houses and gardens|Penrhyn Castle and Garden|Vast neo Norman castle near Bangor
104|Wales|Country houses and gardens|Plas Newydd House and Garden|Mansion on the Menai Strait, Anglesey
105|Wales|Country houses and gardens|Chirk Castle|Marcher fortress still lived in until recently
106|Wales|Country houses and gardens|Erddig|Country house famous for its servants' story
107|Wales|Country houses and gardens|Tredegar House|Restoration mansion at Newport
108|Wales|Country houses and gardens|Dyffryn Gardens|Edwardian garden rooms near Cardiff
109|Wales|Coast and countryside|Rhossili and the Gower coast|Britain's first Area of Outstanding Natural Beauty
110|Wales|Castles, abbeys and ancient sites|Caernarfon Castle|Edward I's greatest castle, World Heritage Site
111|Wales|Castles, abbeys and ancient sites|Conwy Castle and town walls|Castle with complete medieval town walls
112|Wales|Castles, abbeys and ancient sites|Harlech Castle|Clifftop castle over the sea
113|Wales|Castles, abbeys and ancient sites|Beaumaris Castle|Perfect concentric castle, Anglesey
114|Wales|Castles, abbeys and ancient sites|Caerphilly Castle|Second largest castle in Britain
115|Wales|Castles, abbeys and ancient sites|Raglan Castle|Late medieval castle palace
116|Wales|Castles, abbeys and ancient sites|Tintern Abbey|Ruined abbey in the Wye valley
117|Wales|Historic towns and villages|Conwy walled town|Medieval town inside its walls
118|Wales|Historic towns and villages|Portmeirion|Italianate village built by Clough Williams Ellis
119|Wales|Historic towns and villages|Hay on Wye|Book town on the English border
120|Wales|Coast and countryside|Snowdonia and the Snowdon Mountain Railway|Rack railway to the summit of Snowdon
121|Wales|Historic towns and villages|Cardiff Bay and Cardiff Castle|Victorian fantasy castle in the city centre
122|Wales|Heritage spas|Bodysgallen Hall, Llandudno|Historic hall hotel and spa above Llandudno
123|Wales|Heritage spas|St Brides Spa Hotel, Pembrokeshire|Clifftop spa over the sea
124|Wales|Heritage spas|Celtic Manor, Newport|Large resort with two spas
125|Scotland|Coast and countryside|Culloden Battlefield|Site of the last battle on British soil, 1746
126|Scotland|Coast and countryside|Glencoe|Dramatic glen and 1692 massacre story
127|Scotland|Coast and countryside|Glenfinnan Monument|Jacobite monument and the viaduct seen in Harry Potter
128|Scotland|Castles, abbeys and ancient sites|Culzean Castle and Country Park|Clifftop castle by Robert Adam
129|Scotland|Castles, abbeys and ancient sites|Falkland Palace|Renaissance palace of the Stuart kings
130|Scotland|Castles, abbeys and ancient sites|Crathes Castle|Tower house with painted ceilings
131|Scotland|Castles, abbeys and ancient sites|Gladstone's Land|17th century tenement on the Royal Mile
132|Scotland|Castles, abbeys and ancient sites|Newhailes|Enlightenment house near Edinburgh
133|Scotland|Castles, abbeys and ancient sites|Edinburgh Castle|Crown of Scotland and the Stone of Destiny
134|Scotland|Castles, abbeys and ancient sites|Stirling Castle|Royal palace of the Stuarts
135|Scotland|Castles, abbeys and ancient sites|Urquhart Castle|Ruin on the shore of Loch Ness
136|Scotland|Castles, abbeys and ancient sites|Linlithgow Palace|Birthplace of Mary Queen of Scots
137|Scotland|Castles, abbeys and ancient sites|Doune Castle|Medieval castle seen in Outlander
138|Scotland|Castles, abbeys and ancient sites|Melrose Abbey|Border abbey, heart of Robert the Bruce
139|Scotland|Castles, abbeys and ancient sites|St Andrews Castle and Cathedral|Ruins in the home of golf
140|Scotland|Royal palaces|Palace of Holyroodhouse|The King's residence in Scotland
141|Scotland|Royal palaces|Balmoral Castle|Royal Deeside estate, opens spring to summer
142|Scotland|Historic towns and villages|Edinburgh Old Town and Royal Mile|World Heritage medieval street
143|Scotland|Historic towns and villages|St Andrews town|University town and Old Course
144|Scotland|Coast and countryside|Loch Ness and Inverness|Highland capital and the famous loch
145|Scotland|Coast and countryside|Isle of Skye|Highland island, long drive, overnight needed
146|Scotland|Heritage spas|Gleneagles|Grand Perthshire resort and spa
147|Scotland|Heritage spas|Cameron House, Loch Lomond|Baronial mansion on Loch Lomond
148|Scotland|Heritage spas|Fairmont St Andrews|Clifftop resort near St Andrews
149|Northern Ireland|Coast and countryside|Giant's Causeway|World Heritage basalt columns
150|Northern Ireland|Coast and countryside|Carrick a Rede rope bridge|Rope bridge to a sea island
151|Northern Ireland|Country houses and gardens|Mount Stewart|House and one of the great gardens of Ireland
152|Northern Ireland|Country houses and gardens|Castle Ward|Half Gothic half classical house on Strangford Lough
153|Northern Ireland|Country houses and gardens|Castle Coole|Neo classical mansion at Enniskillen
154|Northern Ireland|Country houses and gardens|Florence Court|Georgian house under the Cuilcagh mountains
155|Northern Ireland|Country houses and gardens|The Argory|Edwardian gentry house, County Armagh
156|Northern Ireland|Country houses and gardens|Crom Estate|Lakeland estate on Upper Lough Erne
157|Northern Ireland|Royal and historic landmarks|Titanic Belfast|Museum on the slipway where Titanic was built
158|Northern Ireland|Castles, abbeys and ancient sites|Dunluce Castle|Clifftop ruin on the Causeway coast
159|Northern Ireland|Historic towns and villages|Derry city walls|Complete 17th century walled city
160|Northern Ireland|Historic towns and villages|Belfast city|City Hall, Cathedral Quarter, murals
161|Northern Ireland|Heritage spas|Galgorm Resort, County Antrim|Riverside thermal village spa
162|Northern Ireland|Heritage spas|Culloden Estate and Spa, Belfast|Former bishop's palace on Belfast Lough
